difficulty,puzzle_id,mask_init_ns,permutation_ns,edge_build_ns,pruning_ns,extraction_ns,total_time_ns
hard,17,78717,38467641,395494720,3245723,7510,439150733
hard,18,80903,25446046,296708060,2307660,9001,327061590
hard,19,82607,15018566,103159390,1120367,6339,120553986
hard,20,79264,23776498,203544660,10372581,6655,239001148
hard,21,82008,18279663,162864662,4581698,6683,187129295
hard,22,81861,9183929,26532366,358895,6407,36680108
hard,23,88250,12433746,67670849,1188195,6992,82145408
hard,24,81426,28265431,510299577,10317346,6872,551241564
hard,25,84589,14316470,97401341,1141849,7040,114069364
hard,26,77795,21414400,114475551,16045002,6617,152980261
hard,27,85149,37741572,345258756,2281871,10038,387673479
hard,28,81962,13127545,57238867,1154501,6520,72331573
hard,29,83695,12879076,81768583,1335146,11322,97099607
hard,30,110293,19298341,103250638,1420145,8565,125253588
hard,31,82616,12465224,80672845,3662855,7162,98062295
hard,32,83387,19447188,177849260,616879,8912,199925330
hard,33,79647,30324328,282657645,2744485,8370,318063085
hard,34,75783,16301774,143083949,2623524,7630,163224958
hard,35,78769,16237267,87219946,710612,6297,105152321
hard,36,81948,13690873,61456400,1131546,8686,77423487
hard,37,80360,10265656,63765997,389133,6735,75266382
hard,38,86099,21279088,132318831,555481,6450,155994805
hard,39,81972,11540077,60790952,457198,6270,73623177
hard,40,81096,13760703,51281776,2762437,8477,68599934
hard,41,83481,12373575,33983899,254796,7217,47297177
hard,42,82611,17544431,114906834,2845333,7528,136384887
hard,43,85816,8529793,35379078,554912,6465,45127635
hard,44,93037,11061258,45849679,1111028,6220,58762460
hard,45,82199,12828963,63926985,577375,6211,78148687
hard,46,80418,14767059,106345310,672971,6712,122841118
hard,47,81136,10465086,30618780,683729,6160,42391312
hard,48,80554,17969279,62843059,727389,6753,82451103
hard,49,84004,15174457,99530415,1113481,7385,116894349
hard,50,77677,16243424,123748499,1925116,7348,143089428
hard,51,73179,18397383,165299238,5947459,6871,190880591
